ID	CN	EN	RU_TRANSLATION
1001	<Yellow>生命能量</>：携带者每隔<Yellow>20秒</>获得1点生命能量，持有上限为3点。携带者对自身或友方单位造成的累计有效治疗超过自身生命值上限的<Yellow>50%</>时，消耗1点生命能量，对目标附加3层<Yellow>蓬勃生长</>效果，持续10秒，并获得1枚<Yellow>生命之种</>，持有上限为3枚。\n\n<Yellow>蓬勃生长</>：生命值不满时，每秒消耗1层，恢复<Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?*d}{CheckStar(Type=\"sealed\",ID=2085006)=2?*d}{CheckStar(Type=\"sealed\",ID=2085006)=3?*d}</>点生命值。\n<Yellow>生命之种</>：携带者受到伤害时，如果生命值低于<Yellow>50%</>，则自动消耗1枚生命之种，固定恢复<Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?32%}{CheckStar(Type=\"sealed\",ID=2085006)=2?40%}{CheckStar(Type=\"sealed\",ID=2085006)=3?48%}</>上限的生命值。	<Yellow>Life Energy</>: The bearer gains 1 point of Life Energy every <Yellow>20 seconds</>, with a maximum capacity of 3 points. When the cumulative effective healing dealt by the bearer to themselves or friendly units exceeds <Yellow>50%</> of their own maximum HP, 1 point of Life Energy is consumed to apply 3 stacks of <Yellow>Flourishing Growth</> to the target for 10 seconds, and the bearer gains 1 <Yellow>Seed of Life</>, with a maximum capacity of 3 seeds. \n\n<Yellow>Flourishing Growth</>: When HP is not full, 1 stack is consumed per second to restore <Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?*d}{CheckStar(Type=\"sealed\",ID=2085006)=2?*d}{CheckStar(Type=\"sealed\",ID=2085006)=3?*d}</> HP. \n<Yellow>Seed of Life</>: When the bearer takes damage and their HP is below <Yellow>50%</>, 1 Seed of Life is automatically consumed to restore a fixed amount of <Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?32%}{CheckStar(Type=\"sealed\",ID=2085006)=2?40%}{CheckStar(Type=\"sealed\",ID=2085006)=3?48%}</> of their maximum HP.	
1002	<Yellow>生命能量</>：携带者每隔<Yellow>20秒</>获得1点生命能量，持有上限为3点。携带者对自身或友方单位造成的累计有效治疗超过自身生命值上限的<Yellow>50%</>时，消耗1点生命能量，对目标附加3层<Yellow>蓬勃生长</>效果，持续10秒，并获得1枚<Yellow>生命之种</>，持有上限为3枚。\n\n<Yellow>蓬勃生长</>：生命值不满时，每秒消耗1层，恢复<Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?*d}{CheckStar(Type=\"sealed\",ID=2085006)=2?*d}{CheckStar(Type=\"sealed\",ID=2085006)=3?*d}</>点生命值。\n<Yellow>生命之种</>：携带者受到伤害时，如果生命值低于<Yellow>50%</>，则自动消耗1枚生命之种，固定恢复<Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?32%}{CheckStar(Type=\"sealed\",ID=2085006)=2?40%}{CheckStar(Type=\"sealed\",ID=2085006)=3?48%}</>上限的生命值。\n身处主宰争锋玩法中时，生命手杖效果降低。	<Yellow>Life Energy</>: The wearer gains 1 point of Life Energy every <Yellow>20 seconds</>, with a maximum capacity of 3 points. When the cumulative effective healing dealt by the wearer to themselves or friendly units exceeds <Yellow>50%</> of their own maximum HP, 1 point of Life Energy is consumed to apply 3 stacks of <Yellow>Flourishing Growth</> to the target for 10 seconds, and the wearer gains 1 <Yellow>Seed of Life</>, with a maximum capacity of 3 seeds.\n\n<Yellow>Flourishing Growth</>: When HP is not full, consumes 1 stack per second to restore <Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?*d}{CheckStar(Type=\"sealed\",ID=2085006)=2?*d}{CheckStar(Type=\"sealed\",ID=2085006)=3?*d}</> HP.\n<Yellow>Seed of Life</>: When the wearer takes damage and their HP is below <Yellow>50%</>, 1 Seed of Life is automatically consumed to restore a fixed <Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?32%}{CheckStar(Type=\"sealed\",ID=2085006)=2?40%}{CheckStar(Type=\"sealed\",ID=2085006)=3?48%}</> of their maximum HP. The effect of the Life Staff is reduced while in the Dominator's Clash mode.	
1003	<Yellow>生命能量</>：携带者每隔<Yellow>20秒</>获得1点生命能量，持有上限为3点。携带者对自身或友方单位造成的累计有效治疗超过自身生命值上限的<Yellow>50%</>时，消耗1点生命能量，对目标附加3层<Yellow>蓬勃生长</>效果，持续6秒，并获得1枚<Yellow>生命之种</>，持有上限为3枚。\n\n<Yellow>蓬勃生长</>：生命值不满时，每秒消耗1层，恢复<Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?*d}{CheckStar(Type=\"sealed\",ID=2085006)=2?*d}{CheckStar(Type=\"sealed\",ID=2085006)=3?*d}</>点生命值。\n<Yellow>生命之种</>：携带者受到伤害时，如果生命值低于<Yellow>50%</>，则自动消耗1枚生命之种，固定恢复<Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?32%}{CheckStar(Type=\"sealed\",ID=2085006)=2?40%}{CheckStar(Type=\"sealed\",ID=2085006)=3?48%}</>上限的生命值。	<Yellow>Life Energy</>: The carrier gains 1 point of Life Energy every <Yellow>20 seconds</>, with a holding limit of 3 points. When the cumulative effective healing the carrier causes to themselves or friendly units exceeds <Yellow>50%</> of their own Max HP, 1 point of Life Energy is consumed to apply 3 layers of <Yellow>Flourishing Growth</> to the target for 6 seconds, and 1 <Yellow>Seed of Life</> is gained, with a holding limit of 3. \n\n<Yellow>Flourishing Growth</>: When HP is not full, consume 1 layer per second to restore <Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?*d}{CheckStar(Type=\"sealed\",ID=2085006)=2?*d}{CheckStar(Type=\"sealed\",ID=2085006)=3?*d}</> HP. \n<Yellow>Seed of Life</>: When the carrier takes damage, if HP is below <Yellow>50%</>, 1 Seed of Life is automatically consumed to restore a fixed <Yellow>{CheckStar(Type=\"sealed\",ID=2085006)=1?32%}{CheckStar(Type=\"sealed\",ID=2085006)=2?40%}{CheckStar(Type=\"sealed\",ID=2085006)=3?48%}</> of Max HP.	
1004	<Yellow>苏勒防身</>：携带者受到伤害降低<Yellow>*f**</>。\n<Yellow>苦难财富</>：携带者受到伤害时，根据累积受到伤害值提高防御，持续<Yellow>30秒</>，防御最多提高<Yellow>*d</>点。	<Yellow>Sule's Protection</>: Damage taken by the carrier is reduced by <Yellow>*f**</>. \n<Yellow>Suffering Wealth</>: When the carrier takes damage, Defense is increased based on the accumulated damage taken, lasting <Yellow>30 seconds</>, with Defense increasing by up to <Yellow>*d</> points.	
1005	<Yellow>镇定情绪</>：战斗中激活，安抚携带者周围的敌方目标。若敌方目标身处携带者8米范围内超过3秒，则会进入持续4秒的<Yellow>迷失</>状态。敌方若攻击携带者，则会加速这一进程，触发加速的间隔为<Yellow>{CheckStar(Type=\"sealed\",ID=2085016)=1?1}{CheckStar(Type=\"sealed\",ID=2085016)=2?0.75}{CheckStar(Type=\"sealed\",ID=2085016)=3?0.5}</>秒，敌方受到伤害则会延缓这一过程，触发延缓的间隔为2秒。\n每<Yellow>{CheckStar(Type=\"sealed\",ID=2085016)=1?10}{CheckStar(Type=\"sealed\",ID=2085016)=2?8}{CheckStar(Type=\"sealed\",ID=2085016)=3?7}</>秒最多使周围目标进入一次迷失状态。\n\n<Yellow>迷失</>：buffdisc(*id)	<Yellow>Calming Emotions</>: Activated in combat, pacifying enemy targets around the carrier. If an enemy target remains within 8 meters of the carrier for more than 3 seconds, they will enter a <Yellow>Lost</> state lasting 4 seconds. If the enemy attacks the carrier, this process is accelerated, with the acceleration interval being <Yellow>{CheckStar(Type=\"sealed\",ID=2085016)=1?1}{CheckStar(Type=\"sealed\",ID=2085016)=2?0.75}{CheckStar(Type=\"sealed\",ID=2085016)=3?0.5}</> seconds. If the enemy takes damage, this process is delayed, with the delay interval being 2 seconds. \nEvery <Yellow>{CheckStar(Type=\"sealed\",ID=2085016)=1?10}{CheckStar(Type=\"sealed\",ID=2085016)=2?8}{CheckStar(Type=\"sealed\",ID=2085016)=3?7}</> seconds, targets nearby can be made to enter the Lost state at most once. \n\n<Yellow>Lost</>: buffdisc(*id)	
1006	<Yellow>黑面草之地</>：使携带者进入濒临诅咒状态，持续5分钟后，转化为<Yellow>背负诅咒</>状态。该状态下死亡时，会在原地长出一片半径8米的活化土地，持续10秒，对范围内的最多10名友方玩家施加下述效果：\n每秒恢复携带者生命值上限<Yellow>{CheckStar(Type=\"sealed\",ID=2085030)=1?6%}{CheckStar(Type=\"sealed\",ID=2085030)=2?7.5%}{CheckStar(Type=\"sealed\",ID=2085030)=3?9%}</>的生命值，优先选择剩余生命值较低的友方，超过5人则治疗量衰减；\n获得攻击提升效果，提升值为携带者攻击的<Yellow>{CheckStar(Type=\"sealed\",ID=2085030)=1?15%}{CheckStar(Type=\"sealed\",ID=2085030)=2?20%}{CheckStar(Type=\"sealed\",ID=2085030)=3?25%}</>，最多对10人生效；\n免除<Yellow>{CheckStar(Type=\"sealed\",ID=2085030)=1?30}{CheckStar(Type=\"sealed\",ID=2085030)=2?40}{CheckStar(Type=\"sealed\",ID=2085030)=3?50}</>人次控制效果。\n效果触发后，或者切换场景时，濒临诅咒重新开始生效。	<Yellow>Land of Black-Faced Grass</>: Causes the carrier to enter a near-cursed state, which transforms into the <Yellow>Bearing the Curse</> state after 5 minutes. When dying in this state, an activated land with a radius of 8 meters will grow on the spot, lasting 10 seconds, applying the following effects to up to 10 friendly players in the range: \nRestores <Yellow>{CheckStar(Type=\"sealed\",ID=2085030)=1?6%}{CheckStar(Type=\"sealed\",ID=2085030)=2?7.5%}{CheckStar(Type=\"sealed\",ID=2085030)=3?9%}</> of the carrier's maximum Health per second, prioritizing friendly units with lower remaining Health; if there are more than 5 people, the healing amount is reduced; \nGains an Attack Boost effect, with the increase value being <Yellow>{CheckStar(Type=\"sealed\",ID=2085030)=1?15%}{CheckStar(Type=\"sealed\",ID=2085030)=2?20%}{CheckStar(Type=\"sealed\",ID=2085030)=3?25%}</> of the carrier's Attack, effective for up to 10 people; \nExempts <Yellow>{CheckStar(Type=\"sealed\",ID=2085030)=1?30}{CheckStar(Type=\"sealed\",ID=2085030)=2?40}{CheckStar(Type=\"sealed\",ID=2085030)=3?50}</> instances of control effects. \nAfter the effect is triggered, or when switching scenes, the near-cursed state begins to take effect again.	
1007	<h>书籍</>	<h>Book</>	
1008	<h>准备仪式</>前往灰雾之上	<h>Prepare the ritual</> to head above the gray fog.	
1009	<h>占卜</>确认安全	<h>Divinate</> to confirm safety	
1010	<h>占卜</>笔记主人的去向	<h>Divinate</> the whereabouts of the notebook's owner	
