ID	CN	EN	RU_TRANSLATION
1501	【自走棋】-魅欲女妖-能量召唤	[Auto-Chess] - Charm Succubus - Energy Summon	
1502	【自走棋】-黑夜女神纹章-当前生命追伤	[Auto-Chess] - Evernight Goddess Emblem - Current Health Bonus Damage	
1503	【自走棋】佛尔思-扇形攻击	[Auto-Chess] Fors - Fan-shaped Attack	
1504	【自走棋】星象仪者技能-【星辰切割	[Auto-Chess] Astrolabe User Skill - [Star Cutting]	
1505	【自走棋】星象仪者技能-【普通】-二连踢	[Auto-Chess] Astrolabe User Skill - [Normal] - Double Kick	
1506	【自走棋】星象仪者技能-【普通】二连踢第二段伤害	[Auto-Chess] Astrolabe User Skill - [Normal] Double Kick Second Stage Damage	
1507	【自走棋】猎犬技能-扇形喷火	[Auto-Chess] Hound Skill - Fan-shaped Fire Breath	
1508	【表演】灵体凯瑟琳	[Performance] Spirit Catherine	
1509	【表演】灵体史密斯先生	[Performance] Spirit Mr. Smith	
1510	【表演】灵体史密斯太太1	【Performance】Spirit Mrs. Smith 1	
1511	【表演】灵体史密斯太太2	[Performance] Spirit Mrs. Smith 2	
1512	【表演】灵体奈特	[Performance] Spirit Knight	
1513	【表演】灵体山姆1	[Performance] Spirit Sam 1	
1514	【表演】灵体山姆2	【Performance】Spirit Sam 2	
1515	【表演】灵体山姆3	[Performance] Spirit Sam 3	
1516	【表演】灵体斯嘉丽1	【Performance】Spirit Scarlett 1	
1517	【表演】灵体斯嘉丽2	【Performance】 Spirit Scarlett 2	
1518	【表演占位】QTE玩法，你和亢奋的村民们跳了一支诡异而疯狂的舞蹈……	[Performance Placeholder] QTE gameplay, you danced a bizarre and crazy dance with the excited villagers...	
1519	【触发】小鱼干任务点位	【Trigger】Dried Fish Quest Point	
1520	【触发】心意派送中	[Trigger] Heartfelt delivery in progress	
1521	【触发】未邀之诗	【Trigger】Uninvited Poem	
1522	【触发】漫游引导	[Trigger] Roaming guidance	
1523	【触发器】中央区-唱词2-1	[Trigger] Central Area - Lyrics 2-1	
1524	【触发器】中央区-唱词2-2	[Trigger] Central area - Lyrics 2-2	
1525	【触发器】中央区-唱词2-3	[Trigger] Central District - Lyrics 2-3	
1526	【触发器】中央区-唱词2-4	[Trigger] Central District-Lyrics 2-4	
1527	【触发器】公司门口吐槽	【Trigger】Company Entrance Grumbling	
1528	【触发器】最后路段-唱词3-1	[Trigger] Last segment - Chant 3-1	
1529	【触发器】最后路段-唱词3-2	[Trigger] Final Segment - Lyrics 3-2	
1530	【触发器】最后路段-看到障碍物	[Trigger] Last section-See obstacle	
1531	【触发器】（中间路）触发唱词区域1	[Trigger] (Middle Path) Trigger Chant Area 1	
1532	【触发器】（中间路）触发唱词区域2	[Trigger] (Middle path) Trigger chant area 2	
1533	【触发器】（右边路）触发唱词区域1	[Trigger] (Right Path) Trigger Chant Area 1	
1534	【触发器】（右边路）触发唱词区域2	[Trigger] (Right Path) Trigger Chant Area 2	
1535	【触发器】（左侧路）碰壁提示区域	【Trigger】(Left Path) Wall Collision Prompt Area	
1536	【触发器】（左侧路）触发唱词区域1	[Trigger] (Left path) Trigger chant area 1	
1537	【触发器】（左侧路）触发唱词区域2	[Trigger] (Left Path) Trigger Chant Area 2	
1538	【触发点】百里挑蛋	【Trigger Point】 One in a hundred eggs	
1539	【触发点位】观众席位	[Trigger point] Audience seats	
1540	【通用】给怪物的无敌	[General] Invincibility for monsters	
1541	【通用】给怪物的无敌+不可被选中	[General] Invincibility + untargetable for monsters	
1542	【通用】给怪物的脱战回血	[General] Out-of-combat healing for monsters	
1543	【采集】家-查看地面（仪式）	[Gather] Home - Check Ground (Ritual)	
1544	【采集】生命	[Collect] Health	
1545	【金秋湖-困难】-分身扇形攻击1	[Golden Autumn Lake-Hard]-Clone Fan-Shaped Attack 1	
1546	【金秋湖-困难】-分身扇形攻击2	[Golden Autumn Lake-Hard]-Clone Fan-Shaped Attack 2	
1547	【金秋湖-困难】-分身扇形攻击3	[Golden Autumn Lake-Hard]-Clone Fan-Shaped Attack 3	
1548	【金秋湖-困难】-德鲁伊-扇形攻击点名-点名3个非T	[Golden Autumn Lake-Hard]-Druid-Fan-Shaped Attack Mark-Mark 3 Non-T	
1549	【金秋湖-困难】-德鲁伊-放花点名-优先点名治疗	[Golden Autumn Lake-Hard]-Druid-Flower Placement Mark-Priority Mark Healer	
1550	【金秋湖-困难】-德鲁伊-无治疗点无分摊的dps	[Golden Autumn Lake-Hard]-Druid-Mark DPS without Healer and without Sharing	
1551	【金秋湖-困难】-德鲁伊-点名没有扩散buff的目标分散	[Golden Autumn Lake-Hard]-Druid-Mark Dispersion for Targets without Diffusion Buff	
1552	【金秋湖-困难】-德鲁伊-点没有分摊buff的分散	[Golden Autumn Lake-Hard]-Druid-Mark Dispersion without Sharing Buff	
1553	【金秋湖-困难】-德鲁伊-点治疗分散	[Golden Autumn Lake-Hard]-Druid-Mark Healer for Dispersion	
