ID	CN	EN	RU_TRANSLATION
251	5230215   QA资源测试模版关卡   位面	5230215 QA Resource Test Template Level Plane	
252	5230216   QA资源测试模版关卡   位面	5230216 QA Resource Test Template Level Plane	
253	5230227   求助女子的房屋   位面	5230227 House of the Woman Seeking Help Plane	
254	5230236   QA资源测试模版关卡   位面	5230236 QA Resource Test Template Level Plane	
255	5230408   压力板测试   文案副本	5230408 Pressure Plate Test - Copy	
256	5230991   QA任务存档测试-默认场景996   文案副本	5230991 QA Task Save Test - Default Scene 996 Script Copy	
257	5230992   QA任务存档测试-村庄   文案副本	5230992 QA Task Save Test - Village Script Copy	
258	5231062   新俱乐部NPC测试   单人位面	5231062 New Club NPC Test Single-Player Instance	
259	5231246   书店   单人位面	5231246 Bookstore Single-Player Instance	
260	52世界BOSS普通10%生命	Level 52 World Boss Normal 10% HP	
261	52级6人本BOSS普通	Level 52 6-Player Dungeon Boss Normal	
262	52级6人本Boss普通	Level 52 6-Player Dungeon Boss Normal	
263	53 新俱乐部	53 New Club	
264	53级12人本Boss普通	Level 53 12-Player Dungeon Boss Normal	
265	53级6人本BOSS普通	Level 53 6-Player Dungeon Boss Normal	
266	53级6人本Boss普通	Level 53 6-Player Dungeon Boss Normal	
267	55品武器箱	Level 55 Weapon Box	
268	55装等装备随机箱	Level 55 Equipment Random Box	
269	55装等金色武器箱	Level 55 Gold Weapon Box	
270	55装等金色装备	55 Item Level Gold Equipment	
271	56级6人本BOSS普通	Level 56 6-Player Dungeon Boss Normal	
272	56级6人本Boss普通	Level 56 6-Player Dungeon Boss Normal	
273	57级6人本BOSS普通	Level 57 6-Player Dungeon Boss Normal	
274	57级6人本Boss困难	Level 57 6-Player Dungeon Boss Hard	
275	57级6人本Boss普通	Level 57 6-Player Dungeon Boss Normal	
276	59 夜总会	59 Nightclub	
277	59太阳金色武器10件+打造相关物品	10 level 59 Sun gold weapons + crafting related items	
278	5v5主界面入口	5v5 Main Interface Entry	
279	5个	5	
280	5件随机装备 + 随机5费棋子 + 30金币	5 random Equipment + Random 5-cost piece + 30 Gold Coins	
281	5分钟内只能进行一次一键申请，请稍后再试	You can only use one-click application once every 5 minutes. Please try again later.	
282	5月23日\n　　尼尔说这条路他走过七次。\n　　一路上他说了三遍，我不信——如果他真的走过七次，为什么连帐篷都不会搭？我蹲在他身后，看他第三次把帐篷布穿反，雪水渗进手套，冷得像在舔我的骨头。\n　　万幸，我们在天黑前支起了帐篷。\n\n剩余物资：\n面包6份    佩姬为我们准备了18磅分成了8份\n肉干和肉肠5份\n糖1罐\n黄油4块\n酒3瓶      酒3瓶 → 2瓶（晚上庆祝消耗1瓶）\n水5瓶      暂时充足，路上可以留意水源	May 23rd\n　　Neil said he has walked this path seven times.\n　　He said it three times along the way, but I don't believe it—if he really had walked it seven times, why wouldn't he even know how to set up a tent? I crouched behind him, watching him put the tent fabric on backward for the third time. Snow water seeped into my gloves, cold as if it were licking my bones.\n　　Fortunately, we set up the tent before dark.\n\nRemaining supplies:\nBread: 6 portions (Peggy prepared 18 lbs for us, divided into 8 portions)\nDried meat and sausages: 5 portions\nSugar: 1 jar\nButter: 4 blocks\nWine: 3 bottles (Wine: 3 bottles → 2 bottles (1 consumed for the evening celebration))\nWater: 5 bottles (Temporarily sufficient; can keep an eye out for water sources on the way)	
283	5级-掌控	Level 5 - Control	
284	5级-浩繁	Level 5 - Vast	
285	60世界BOSS普通10%生命	Level 60 World Boss Normal 10% HP	
286	60品武器箱	Level 60 Weapon Box	
287	60级12人本Boss困难	Level 60 12-Player Dungeon Boss Hard	
288	60级6人本BOSS普通	Level 60 6-Player Dungeon Boss Normal	
289	60级6人本Boss普通	Level 60 6-Player Dungeon Boss Normal	
290	60装等冒险装备自选箱	Level 60 Adventure Equipment Selection Box	
291	60装等橙色竞技武器箱	Level 60 Orange Competition Weapon Box	
292	60装等橙色装备盒	60 Item Level Orange Equipment Box	
293	60装等武器箱	Level 60 Weapon Box	
294	60装等竞技烙印装备自选箱	Level 60 Competitive Brand Equipment Selection Box	
295	60装等竞技装备自选箱	Level 60 Competitive Equipment Selection Box	
296	60装等装备自选箱	Level 60 Equipment Selection Box	
297	60装等装备随机箱	Level 60 Equipment Random Box	
298	60装等金色装备	60 Item Level Gold Equipment	
299	61级12人本Boss困难	Level 61 12-Player Dungeon Boss Hard	
300	61级6人本BOSS普通	Level 61 6-Player Dungeon Boss Normal	
301	61级6人本Boss困难	Level 61 6-Player Dungeon Boss Hard	
302	62世界BOSS普通10%生命	Level 62 World Boss Normal 10% HP	
303	62级12人本BOSS普通	Level 62 12-Player Dungeon Boss Normal	
304	62级12人本Boss困难	Level 62 12-Player Dungeon Boss Hard	
305	62级12人本Boss普通	Level 62 12-Player Dungeon Boss Normal	
306	62装等冒险装备自选箱	Level 62 Adventure Equipment Selection Box	
307	62装等橙色竞技武器箱	Level 62 Orange Competition Weapon Box	
308	62装等竞技烙印装备自选箱	Level 62 Competitive Brand Equipment Selection Box	
309	62装等竞技装备自选箱	Level 62 Competitive Equipment Selection Box	
310	62装等装备随机箱	Level 62 Equipment Random Box	
311	63级6人本BOSS普通	Level 63 6-Player Dungeon Boss Normal	
312	63级6人本Boss困难	Level 63 6-Player Dungeon Boss Hard	
313	64级大R玩家+大量钱	Level 64 big spender + large amount of money.	
314	64装等冒险装备自选箱	Level 64 Adventure Equipment Selection Box	
315	64装等橙色竞技武器箱	Level 64 Orange Competition Weapon Box	
316	64装等橙色装备盒	64 Item Level Orange Equipment Box	
317	64装等竞技烙印装备自选箱	Level 64 Competitive Brand Equipment Selection Box	
318	64装等竞技装备自选箱	Level 64 Competitive Equipment Selection Box	
319	64装等装备随机箱	Level 64 Equipment Random Box	
320	65级12人本BOSS普通	Level 65 12-Player Dungeon Boss Normal	
321	65装等装备随机箱	Level 65 Equipment Random Box	
322	66级6人本BOSS普通	Level 66 6-Player Dungeon Boss Normal	
323	66级6人本Boss困难	Level 66 6-Player Dungeon Boss Hard	
324	66装等冒险装备自选箱	Level 66 Adventure Equipment Selection Box	
325	66装等橙色竞技武器箱	Level 66 Orange Competition Weapon Box	
326	66装等竞技烙印装备自选箱	Level 66 Competitive Brand Equipment Selection Box	
327	66装等竞技装备自选箱	Level 66 Competitive Equipment Selection Box	
328	66装等装备随机箱	Level 66 Equipment Random Box	
329	68级6人本BOSS普通	Level 68 6-Player Dungeon Boss Normal	
330	68级6人本Boss困难	Level 68 6-Player Dungeon Boss Hard	
331	68装等冒险装备自选箱	Level 68 Adventure Equipment Selection Box	
332	68装等橙色竞技武器箱	Level 68 Orange Competition Weapon Box	
333	68装等竞技烙印装备自选箱	Level 68 Competitive Brand Equipment Selection Box	
334	68装等竞技装备自选箱	Level 68 Competitive Equipment Selection Box	
335	68装等装备随机箱	Level 68 Equipment Random Box	
336	69级12人本BOSS普通	Level 69 12-Player Dungeon Boss Normal	
337	69装等装备随机箱	Level 69 Equipment Random Box	
338	6级-万象	Level 6 - Myriad	
339	6级-超越	Level 6 - Transcendence	
340	70级12人本BOSS普通	Level 70 12-Player Dungeon Boss Normal	
341	724后把后效改回来	Change after-effects back after 724	
342	72级12人本BOSS普通	Level 72 12-Player Dungeon Boss Normal	
343	72级6人本BOSS普通	Level 72 6-Player Dungeon Boss Normal	
344	74级6人本BOSS普通	Level 74 6-Player Dungeon Boss Normal	
345	75PVE装备	75 PVE Equipment	
346	76级6人本BOSS普通	Level 76 6-Player Dungeon Boss Normal	
347	78级12人本BOSS普通	Level 78 12-Player Dungeon Boss Normal	
348	82级12人本BOSS普通	Level 82 12-Player Dungeon Boss Normal	
349	84级12人本BOSS普通	Level 84 12-Player Dungeon Boss Normal	
350	8个装备部位的强化等级达到2级	Reach level 2 strengthening for 8 equipment slots	
351	8！我选的就是8！	8! I choose 8!	
352	90级6人本BOSS普通	Level 90 6-Player Dungeon Boss Normal	
353	91级6人本BOSS困难	Level 91 6-Player Dungeon Boss Hard	
354	93级12人本BOSS困难	Level 93 12-Player Dungeon Boss Hard	
355	94级12人本BOSS困难	Level 94 12-Player Dungeon Boss Hard	
356	95级12人本BOSS困难	Level 95 12-Player Dungeon Boss Hard	
357	96级6人本BOSS困难	Level 96 6-Player Dungeon Boss Hard	
358	97级12人本BOSS困难	Level 97 12-Player Dungeon Boss Hard	
359	98级12人本BOSS困难	Level 98 12-Player Dungeon Boss Hard	
360	99级12人本BOSS困难	Level 99 12-Player Dungeon Boss Hard	
361	<Assistant_Title1> [Chat] </>\n<Assistant_Title2> System Entry: </><Assistant_System> HUD Bottom Left - Chat </>{JumpToUI:[【前往查看】]|1250050}\n<Assistant_Title2> Chat Channels: </> You can switch between different channels in the list on the left. \n<Assistant_Title2> Chat Settings: </> You can configure chat channels via <Assistant_System> Chat Panel - Settings button at the bottom </>. In <Assistant_System> General Settings - Chat Channel Display </>, you can set which channels to display. In <Assistant_System> Channel Settings </>, you can control which chat channels appear in the bottom left of the HUD. \n<Assistant_Title2> General Channel: </> The General channel aggregates messages from multiple channels, allowing for quick viewing. In <Assistant_System> Channel Settings </>, you can control which channel information is included in the General channel. \n<Assistant_Title2> Chat Window: </> In the bottom right of the chat interface, click the window button to open window mode, which allows you to drag the window freely. \n<Assistant_Title3> Basic Function Details and Rules: </>{SendAnswer:[聊天-表情包]|1414}	<Assistant_Title1> [Chat] </>\n<Assistant_Title2> System Entry: </><Assistant_System> HUD Bottom Left - Chat </>{JumpToUI:[【Go to View】]|1250050}\n<Assistant_Title2> Chat Channels: </> You can switch between different channels in the list on the left. \n<Assistant_Title2> Chat Settings: </> You can configure chat channels via <Assistant_System> Chat Panel - Settings button at the bottom </>. In <Assistant_System> General Settings - Chat Channel Display </>, you can set which channels to display. In <Assistant_System> Channel Settings </>, you can control which chat channels appear in the bottom left of the HUD. \n<Assistant_Title2> General Channel: </> The General channel aggregates messages from multiple channels, allowing for quick viewing. In <Assistant_System> Channel Settings </>, you can control which channel information is included in the General channel. \n<Assistant_Title2> Chat Window: </> In the bottom right of the chat interface, click the window button to open window mode, which allows you to drag the window freely. \n<Assistant_Title3> Basic Function Details and Rules: </>{SendAnswer:[Chat - Stickers]|1414}	
362	<Assistant_Title1> [Friends - Cross-Server Friends] </>\n<Assistant_Title2> System Entry: </><Assistant_System> Menu - Friends - Cross-Server Friends </>\n<Assistant_Title2> Adding Friends: </><Assistant_System> Under the Friends - Add tab, enter the character nickname or character numeric ID to search for and add cross-server friends. </>\n Friend Gifting: <Assistant_Title2> You can use </> Friends - Private Chat - Gifting in the bottom right corner <Assistant_System> to exchange gifts with cross-server friends and increase friendliness. </>\n Recommended Searches: <Assistant_Title3></>, {SendAnswer:[好友]|1406}, {SendAnswer:[好友-好友列表]|1407}, {SendAnswer:[好友-私聊]|1408}, {SendAnswer:[好友-群聊]|1409}, {SendAnswer:[好友-好友度]|1410}, {SendAnswer:[好友-删除拉黑]|1412}	<Assistant_Title1> [Friends - Cross-Server Friends] </>\n<Assistant_Title2> System Entry: </><Assistant_System> Menu - Friends - Cross-Server Friends </>\n<Assistant_Title2> Adding Friends: </><Assistant_System> Under the Friends - Add tab, enter the character nickname or character numeric ID to search for and add cross-server friends. </>\n Friend Gifting: <Assistant_Title2> You can use </> Friends - Private Chat - Gifting in the bottom right corner <Assistant_System> to exchange gifts with cross-server friends and increase friendliness. </>\n Recommended Searches: <Assistant_Title3></>, {SendAnswer:[Friends]|1406}, {SendAnswer:[Friends - Friend List]|1407}, {SendAnswer:[Friends - Private Chat]|1408}, {SendAnswer:[Friends - Group Chat]|1409}, {SendAnswer:[Friends - Friendliness]|1410}, {SendAnswer:[Friends - Delete/Block]|1412}	
