ID	CN	EN	RU_TRANSLATION
2251	标记_炼金心得_Boss_大剑	Mark_Alchemy Insights_Boss_Greatsword	
2252	标记_炼金心得_Boss_战斧	Mark_Alchemy Insights_Boss_Battle Axe	
2253	标记_魔像大地震颤_点名1	Mark_Golem Earth Tremor_Target 1	
2254	标记_魔像大地震颤_点名2	Mark_Golem Earth Tremor_Target 2	
2255	标记_魔像大地震颤_点名3	Mark_Golem Earth Tremor_Target 3	
2256	标记buff	Mark buff	
2257	格挡	Block	
2258	格挡+1200	Block +1200	
2259	格挡_N	Block_N	
2260	格挡{0}	Block {0}	
2261	格挡率	Block Rate	
2262	梦境领域	Dream Realm	
2263	歌颂者魔药	Bard Potion	
2264	正在占卜……	Divining...	
2265	死亡buff	Dead Buff	
2266	死亡仪式	Death ritual	
2267	死亡技能	Death Skill	
2268	死灵护盾	Necro Shield	
2269	毒气	Poison Gas	
2270	毒爆	Poison Burst	
2271	毒素爆发	Poison Burst	
2272	毒藤	Poison Ivy	
2273	沉默	Silence	
2274	沉默。	Silence.	
2275	沉默的男人	Silent Man	
2276	治疗	Healing	
2277	治疗+10%	Healing +10%	
2278	治疗总量	Total Healing	
2279	治疗波	Healing Wave	
2280	法官魔药	Judge Potion	
2281	法术	Spell	
2282	法术书	Spellbook	
2283	法术场	Spell Field	
2284	法术旋涡	Spell Vortex	
2285	法球术	Orb Spell	
2286	法阵	Magic Circle	
2287	流血	Bleed	
2288	测试buff	Test Buff	
2289	测试buff2	Test Buff 2	
2290	混沌能量	Chaos Energy	
2291	清除光环	Clear Aura	
2292	火焰buff	Fire buff	
2293	灵魂领域	Soul Domain	
2294	点燃中……	Igniting...	
2295	点燃状态	Lit state	
2296	点燃的蜡烛1	Lit Candle 1	
2297	点燃的蜡烛2	Lit candle 2	
2298	点燃的蜡烛3	Lit Candle 3	
2299	炼制魔药	Brew Potion	
2300	物理	Physical	
2301	物资箱-环绕特效-plus	Supply Box-Surround Effect-plus	
2302	特效_传送_先祖骑士	Effect_Teleport_Ancestor Knight	
2303	特效_传送_子嗣守护	Effect_Teleport_Offspring Protection	
