ID	CN	EN	RU_TRANSLATION
1251	{\"第%i个子弹的额外Yaw角\"}	{\"Extra Yaw angle for the %ist bullet\"}	
1252	{\"第%i个属性名\"}	{\"Name of the %ist attribute\"}	
1253	{\"第%i个法术场ID\"}	{\"ID of the %ist Spell Field\"}	
1254	{\"第%i批子弹发射时间点\"}	{\"Firing time of the %ist batch of bullets\"}	
1255	{\"类型%i\"}	{\"Type %i\"}	
1256	{\"陷阱ID%i\"}	{\"Trap ID%i\"}	
1257	{\"默认为false。若为true，上面4个限制无效，但白名单生效\"}	{\"Defaults to false. If true, the 4 restrictions above are invalid, but the whitelist takes effect\"}	
1258	{{\"BuffID%i\",\"Buff层数%i\",\"Buff时长%i\"}}	{{\"BuffID%i\",\"Buff Stacks%i\",\"Buff Duration%i\"}}	
1259	{{\"子弹%iX偏移cm\",\"子弹%iY偏移cm\",\"子弹%iZ偏移cm\"}}	{{ \"Bullet %i X offset cm\", \"Bullet %i Y offset cm\", \"Bullet %i Z offset cm\" }}	
1260	{{\"技能ID%i\",\"增加等级\"}}	{{\"Skill ID%i\", \"Level Increase\"}}	
1261	{{\"技能Type（参看悬停注释）\",\"增加等级\"}}	{{\"Skill Type (see hover note)\", \"Increase Level\"}}	
1262	{{\"第%i个子弹的X偏移cm\",\"第%i个子弹的Y偏移cm\",\"第%i个子弹的Z偏移cm\"}}	{{\"X offset of the %ind bullet in cm\", \"Y offset of the %ird bullet in cm\", \"Z offset of the %ith bullet in cm\"}}	
1263	{{\"第%i个属性名\",\"修改值\"}}	{{\"Attribute Name #%i\", \"Modified Value\"}}	
1264	{{\"第%i个按键的资源名\",\"对应的技能ID\",\"对应的键盘按键（仅可填Q/W/E/R/A/S/D/F之一）\"}}	{{\"Resource name of the %ind button\", \"Corresponding Skill ID\", \"Corresponding keyboard key (can only be Q/W/E/R/A/S/D/F)\"}}	
1265	{{PlayerName}} ，走吧，天快亮了，我带你看看拉姆德城堡的日出。	{{PlayerName}}, let's go. Dawn is almost here; let me show you the sunrise at Lamud Castle.	
1266	{{PlayerName}}，看来你也有当美食评论家的天分。	{{PlayerName}}, it seems you also have a talent for being a food critic.	
1267	{{player.name}} 掷骰<Chat_Highlight>两连大成功！</>，森严的概率法则在他面前俯首认输。	{{player.name}} rolled <Chat_Highlight>two consecutive critical successes!</> The stern laws of probability bow and concede before him.	
1268	{{player.name}}从FowChart触发了事件，啊啊啊啊啊啊啊啊啊	{{player.name}} triggered an event from FowChart, ahhhhhhhhhhhhh	
1269	{{player.name}}对{{targetPlayer.name}}进行了安魂，仪式进行得有板有眼，但无事发生。双方面面相觑。 	{{player.name}} performed a Requiem on {{targetPlayer.name}}. The ritual was conducted by the book, but nothing happened. Both parties stared at each other in silence.	
1270	{{player.name}}的“神降”仪式获得了“愚者”先生的恩赐——<Chat_Highlight>君临·火焰</>！赞美祂！<HyperLink stylename=\"Chat_Hyperlink\" u=\"luxuryNavigation={{eventMessageParams.worldID}},444460680\">[前往赞美]</>	{{player.name}}'s \"Divine Descent\" ritual has received Mr. Fool's blessing—<Chat_Highlight>Monarch's Flame</>! Praise Him! <HyperLink stylename=\"Chat_Hyperlink\" u=\"luxuryNavigation={{eventMessageParams.worldID}},444460680\">[Go to Praise]</>	
1271	{{player.name}}的“神降”仪式获得黑夜女神的恩赐——<Chat_Highlight>隐秘之拥</>！赞美祂！<HyperLink stylename=\"Chat_Hyperlink\" u=\"luxuryNavigation={{eventMessageParams.worldID}},227295011\">[前往赞美]</>	{{player.name}}'s \"Divine Descent\" ritual has received the Evernight Goddess's blessing—<Chat_Highlight>Embrace of Concealment</>! Praise Her! <HyperLink stylename=\"Chat_Hyperlink\" u=\"luxuryNavigation={{eventMessageParams.worldID}},227295011\">[Go to Praise]</>	
