ID	CN	EN	RU_TRANSLATION
1	\n　　一想到你要独自去那种地方，我就忍不住担忧你的安危。但我又与你一样好奇：他们真的和我们一样吗？无论是外表，还是内心？\n此次调查无疑是一项艰巨的任务，路途凶险，还请你务必保重。\n　　如果那里能收到来信，希望你能抽空报个平安。小玛莎和我一直期待着去廷根火车站接你回家的那天！\n　　愿女神庇佑你的归途平安无阻！	\n　　Thinking that you are going to such a place alone, I can't help but worry about your safety. But I am as curious as you: Are they really the same as us? Whether it's appearance or heart?\nThis investigation is undoubtedly a daunting task, and the journey is dangerous, so please take care.\n　　If you can receive letters there, I hope you can find time to report that you are safe. Little Martha and I are looking forward to the day we go to Tingen Train Station to pick you up!\n　　May the Goddess bless your return journey to be safe and smooth!	
2	\n　　不用意外！我预先知道你会到这里，留下了这封信，其他人看不到。\n　　我赶稿实在抽不开身，麻烦帮我把这本新书带给塔罗会的“月亮”先生。书钱我已经付过了！\n　　“月亮”目前以大地母神教会执事的身份，在金秋湖调查“丰饶污染”事件。你们正好可以借此认识一下。\n　　对了，“月亮”先生是血族，请一定不要叫他“吸血鬼”——那很不礼貌！\n　　附一张他自己很满意的画像，方便你辨认。\n（字迹越来越潦草……似乎没时间写更多了。） 	\n　　Don't be surprised! I knew in advance that you would come here and left this letter, others can't see it.\n　　I'm too busy with my manuscript to get away, so please help me bring this new book to Mr. Moon of the Tarot Club. I have already paid for the book!\n　　\"Moon\" is currently investigating the \"Abundance Corruption\" incident at Golden Autumn Lake as a deacon of the Earth Mother Church. You can just happen to get to know each other.\n　　By the way, Mr. Moon is a Sanguine, please don't call him a \"vampire\"—that's very rude!\n　　Attached is a portrait he is very satisfied with, for your identification.\n(The handwriting is getting more and more illegible... seems like there is no time to write more.) 	
3	\n　　为给诸位更体面的购物环境，本店将\n　　于即日起暂停营业六周，全店翻修。\n\n　✦  新增进口原木打造专柜\n　✦  全店换装吊灯\n　✦  扩建二楼贵宾厅\n\n　　重新开业日期暂未确定，详情请关注 《贝克兰德邮报》\n　　凭报纸当日到店可享九折优惠	\n　　To provide everyone with a more decent shopping environment, this shop will\n　　suspend business for six weeks starting today for a full renovation.\n\n　✦  Added counters made of imported logs\n　✦  Installed chandeliers throughout the shop\n　✦  Expanded the second-floor VIP lounge\n\n　　The reopening date has not yet been determined, for details please pay attention to the \"Backlund Post\"\n　　Present the newspaper on the day to enjoy a 90% Discount	
4	\n　　又落榜了……已经数不清是第几次落榜了……\n\n　　或许我生来就不适合成为一名政府雇员，仔细经营好那个小肉摊、和一个美丽的妻子一起过日子才是我应该过的生活。\n\n　　她会为我洗衣服，我会为她炖肉，让她成为全廷根吃过最多肉的女人。\n\n　　真是美好的生活……我该振作起来，努力去找一个妻子了。	\n　　Failed the exam again... I have lost count of how many times I have failed...\n\n　　Perhaps I was not born to be a government employee. Carefully managing that small meat stall and living with a beautiful wife is the life I should be living.\n\n　　She will wash my clothes, I will stew meat for her, and let her become the woman who has eaten the most meat in all of Tingen.\n\n　　What a beautiful life... I should pull myself together and try hard to find a wife.	
5	        也许在那之前，我——罗塞尔·古斯塔夫，因蒂斯的皇帝，终将归来。	        Perhaps before that, I—Roselle Gustav, the Emperor of Intis, will eventually return.	
6	#CanMove不朽传奇#	#CanMoveImmortal Legend#	
7	#CanMove你#	#CanMoveYou#	
8	#CanMove修复#	#CanMoveRepair#	
9	#CanMove窟窿#	#CanMoveHole#	
10	#CanMove红色的#	#CanMoveRed#	
11	#CanMove绳子#	#CanMoveRope#	
12	#CanMove绿色的#	#CanMoveGreen#	
13	#CanMove老人#	#CanMoveOldMan#	
14	#CanMove老鼠#	#CanMoveMouse#	
15	#CanMove船#	#CanMoveShip#	
16	#CanMove苹果#	#CanMoveApple#	
17	#CanMove荣耀#	#CanMoveGlory#	
18	#CanMove蒸汽之子#	#CanMoveChildOfSteam#	
19	#CanMove讨厌#	#CanMoveHate#	
20	#CanMove财富#	#CanMoveWealth#	
21	#CanMove资源#	#CanMoveResources#	
22	#CanMove跳舞#	#CanMoveDance#	
23	#CanMove释放#	#CanMoveRelease#	
24	#CanMove金钱#	#CanMoveMoney#	
25	#CanMove钥匙#	#CanMoveKey#	
26	#CanMove问候#	#CanMoveGreeting#	
27	#CanMove风车#	#CanMoveWindmill#	
28	#CanMove驱赶#	#CanMoveDriveAway#	
29	#CanMove魔女#	#CanMoveWitch#	
30	#CanMove鸟窝#	#CanMoveBirdNest#	
31	#CanMove黄色的#	#CanMoveYellow#	
32	%.1f万	%.1f0,000	
33	%.2f万	%.2f0,000	
34	%d万	%d0,000	
35	%d名	%dth	
36	%d时%d分	%d:%d	
37	%d（我）	%d (Me)	
38	%s·高级染	%s - Advanced Dye	
39	%s·（%s召唤）	%s·(%s Summon)	
40	%s倍	%sx	
41	%s年%s月%s日 %s:%s	%s/%s/%s %s:%s	
42	%s年%s月%s日 %s时%s分	%s/%s/%s %s:%s	
43	%s月%s日	%s/%s	
44	%s第%s%s	%s %s %s	
45	%s第%s名	%sRank %s	
46	%s第%s大亨	%s %s Tycoon	
47	%时	%	
48	-数据表缺失	- Data Table Missing	
49	......知识指引我至此。	......Knowledge has guided me here.	
50	00级	Level 0	
51	01-2_批量增加多种类道具	01-2_Batch Add Multiple Types of Items	
52	01_增加道具	01_Add Item	
53	01_开启音频性能分析	01_Start Audio Performance Analysis	
54	02_消耗道具	02_Consume Item	
55	02_结束音频性能分析	02_End Audio Performance Analysis	
56	02任务交互物	02 Quest interaction object	
57	06_伙伴出战/取消	06_Partner Deploy/Cancel	
58	07_伙伴助战/取消	07_Partner Assist/Cancel	
59	0: 三段跳落地;\n1: x 键落地	0: Triple jump landing; \n 1: x key landing	
60	0:\"默认第一偏移点到目标的连线作为起始方向\",1:\"使用表格内部的偏移\",2:\"不使用偏移，目标朝向\"	0: \"Default to the line connecting the first offset point to the target as the starting direction\", 1: \"Use the offset inside the table\", 2: \"Do not use offset, use target orientation\"	
