ID	CN	EN	RU_TRANSLATION
2001	令人胆寒的阴冷气息，像墓园刚被挖出的尸体，被祂注视的可怜的羔羊，被仪式引诱的阴影。	A chilling and cold aura, like a corpse just dug up from a cemetery, a poor lamb watched by Him, a shadow lured by a ritual.	
2002	以上为伙伴buff	The above are partner buffs	
2003	以上为副本怪物buff	The above are dungeon monster buffs	
2004	仪式	Ritual	
2005	仪式房间	Ritual Room	
2006	仪式桌子	Ritual Table	
2007	仪式物品	Ritual items	
2008	仪式魔法	Ritual Magic	
2009	企微关注礼	WeChat Follow Gift	
2010	休息一会儿	Take a Break	
2011	休息触发	Rest Trigger	
2012	伤害Log	Damage Log	
2013	伤害值	Damage Value	
2014	伤害总量	Total Damage	
2015	伤害木桩	Damage Dummy	
2016	伤害比	Damage Ratio	
2017	伤害：%s	Damage: %s	
2018	低血量	Low Health	
2019	使用技能	Use skill	
2020	使用符咒	Use Charm	
2021	侵蚀	Erosion	
2022	侵蚀·Ⅰ	Erosion · I	
2023	侵蚀·Ⅱ	Erosion · II	
2024	侵蚀·Ⅲ	Erosion · III	
2025	侵蚀·Ⅳ	Erosion · IV	
2026	侵蚀·Ⅴ	Erosion · V	
2027	保持光环	Maintain Aura	
2028	倒地	Knockdown	
2029	健康护符	Health Amulet	
2030	僵直木桩	Stun Dummy	
2031	光环1	Aura 1	
2032	光环2	Halo 2	
2033	光环ID	Aura ID	
2034	光盾	Light Shield	
2035	光能	Light Energy	
2036	免疫buff	Immunity Buff	
2037	全场最佳	MVP	
2038	全部技能	All skills.	
2039	公证人魔药	Notary Potion	
2040	公证技能	Notary Skill	
2041	关卡1	Level 1	
2042	关卡2	Level 2	
2043	关卡3	Level 3	
2044	关键	Critical	
2045	关键技能	Key Skill	
2046	冰破	Ice Break	
2047	冲击波	Shockwave	
2048	冲啊	Charge	
2049	冲撞	Charge	
2050	冲锋	Charge	
2051	冲锋红色	Charge Red	
2052	冻结	Freeze	
2053	减益	Debuff	
2054	减速闪避	Slow Dodge	
2055	凝滞buff	Stasis Buff	
2056	出生光环	Birth Aura	
2057	出生技能	Birth Skill	
2058	出门trigger	Exit trigger	
2059	出门触发	Exit Trigger	
2060	击倒	Knockdown	
2061	击飞	Knockup	
2062	击飞命中	Knockup Hit	
2063	击飞木桩	Knockup Dummy	
2064	击飞闪避	Knockup Dodge	
2065	分数_个人	Score_Personal	
2066	分数_总计	Score_Total	
2067	分裂攻击	Split attack.	
2068	分身攻击	Clone Attack	
2069	创建_光环	Create_Aura	
2070	创建_子弹	Create_Bullet	
2071	创建_陷阱	Create_Trap	
2072	制作符咒	Craft Charm	
2073	削减护盾	Reduce Shield	
2074	前冲连击	Dash Combo	
2075	前往城堡	Go to Castle	
2076	前往解除	Go to Break	
2077	前往触发	Go to Trigger	
2078	剑刃护盾	Blade Shield	
2079	剧毒炸弹	Poison Bomb	
2080	剧毒爆发	Poison Burst	
2081	剧毒领域	Poison Domain	
2082	副本_五月庄园_外城_主流程_通用	Dungeon_May Manor_Outer City_Main Flow_General	
2083	功能_命中藤蔓	Function_Hit Vine	
2084	功能_回血	Function_Heal	
2085	功能_已被瞄准	Function_Already Aimed	
2086	功能_打手护盾	Function_Thug Shield	
2087	功能_携带瞄准框	Function_Carry Aiming Box	
2088	功能_枪手护盾	Function_Gunman Shield	
2089	功能_炼金心得_计数	Function_Alchemy Insight_Count	
2090	功能_眩晕	Function_Stun	
2091	功能_背刺	Function_Backstab	
2092	功能_触发技能	Function_Trigger Skill	
2093	功能_运动会发动攻击_顺序4	Function_Sports Meet Attack_Sequence 4	
2094	加Buff	Add Buff	
2095	加攻击	Add attack	
2096	加满血	Full Heal	
2097	匕首连击	Dagger Combo	
2098	十字攻击	Cross Attack	
2099	升级技能	Upgrade Skill	
2100	协助仪式	Assist Ritual	
2101	单次攻击	Single Attack	
2102	占卜中	Divining...	
2103	占卜中……	Divining...	
2104	卡斯特	Castor	
2105	印记疗愈	Mark Healing	
2106	双重震荡	Double Shock	
2107	反抗	Resist	
2108	可攻击	Attackable	
2109	台柱_传送后	Pillar_After Teleport	
2110	合理	Reasonable	
2111	合理的	Reasonable	
2112	后排赌火 I	Backline Gamble I	
2113	后排赌火I	Backline Gambling Fire I	
2114	后排赌火II	Backline Gambling Fire II	
2115	吟游诗人触发器	Bard Trigger	
2116	命运护盾	Fate Shield	
2117	喝下魔药	Drink Potion	
2118	喝药水	Drink Potion	
2119	回血	Heal	
2120	回血BUFF	Heal BUFF	
2121	回血buff	Heal buff	
2122	块	Block	
2123	城堡	Castle	
2124	城堡名称	Castle Name	
2125	城堡等级	Castle Level	
2126	塔罗	Tarot	
2127	塔罗制服	Tarot Uniform	
2128	塔罗小队	Tarot Squad	
2129	塔罗牌	Tarot Card	
2130	塔罗牌1	Tarot Card 1	
2131	塔罗牌2	Tarot card 2	
2132	塔罗牌3	Tarot Card 3	
2133	塞伦斯	Silence	
2134	墙体·城堡	Wall · Castle	
2135	增伤	Damage Boost	
2136	增益	Buff	
2137	增益BUFF1	Buff 1	
2138	增益BUFF2	Buff 2	
2139	增益光点	Buff Orbs	
2140	增益效果	Buff Effect	
2141	增益试用	Buff Trial	
2142	增益详情	Buff Details	
2143	士气光环	Morale Aura	
2144	多么疯狂！	How crazy!	
2145	大帽子buff	Big Hat buff	
2146	大旗伤害	Banner Damage	
2147	大门trigger	Gate Trigger	
2148	天赋	Talent	
2149	天赋点	Talent Point	
2150	太阳能量	Sun Energy	
2151	太阳魔药	Sun Potion	
2152	奇迹飞牌	Miracle Card	
2153	女巫魔药	Witch Potion	
2154	定制_头晕	Custom_Dizzy	
2155	定格留影	Freeze Frame	
2156	家族增益	Family Buff	
2157	富文本_TEST	RichText_TEST	
2158	对决冲锋	Duel Charge	
2159	封印trigger	Seal trigger	
2160	屏蔽	Block	
2161	工作触发器	Work Trigger	
2162	帕里	Parry	
2163	广场trigger	Plaza Trigger	
2164	广播	Broadcast	
2165	开始仪式	Start Ritual	
2166	归寂	Silence	
2167	心愿城堡	Wish Castle	
2168	心灵冲击	Mind Shock	
2169	怒气爆发	Rage Burst	
2170	怪物_金币	Monster_Gold Coin	
2171	怪物_金币子弹	Monster_Gold Coin Bullet	
2172	总伤害	Total Damage	
2173	总治疗	Total Healing	
2174	恩	En	
2175	愚者触发器	Fool Trigger	
2176	愚者魔药	Fool Potion	
2177	我的增益效果	My Buffs	
2178	扑克魔术	Poker Magic	
