ID	CN	EN	RU_TRANSLATION
751	<Assistant_Title1>赴约神战之邀</>\n<Assistant_Title2>成就分类：</>以战养战-征伐\n<Assistant_Title2>解锁条件：</>完成1局众神之巅小组赛	<Assistant_Title1>Accepting the Invitation to the Battle of Gods</>\n<Assistant_Title2>Achievement Category: </>Battle for Growth - Conquest\n<Assistant_Title2>Unlock Condition: </>Complete 1 round of Peak of the Gods group stage	
752	<Assistant_Title1>跻身从神之列</>\n<Assistant_Title2>成就分类：</>以战养战-征伐\n<Assistant_Title2>解锁条件：</>参与众神之巅玩法后取得四强荣誉称号	<Assistant_Title1>Ranking Among the Lesser Gods</>\n<Assistant_Title2>Achievement Category: </>Battle for Growth - Conquest\n<Assistant_Title2>Unlock Condition: </>Obtain the Top 4 honorary title after participating in Peak of the Gods	
753	<Assistant_Title1>踏入神之国度</>\n<Assistant_Title2>成就分类：</>以战养战-征伐\n<Assistant_Title2>解锁条件：</>参与众神之巅玩法后取得十六强荣誉称号	<Assistant_Title1>Stepping into the Kingdom of God</>\n<Assistant_Title2>Achievement Category: </>War-Driven - Conquest\n<Assistant_Title2>Unlock Condition: </>Obtain the Top 16 honorary title after participating in the Peak of the Gods gameplay	
754	<Assistant_Title1>重点培养</>\n<Assistant_Title2>成就分类：</>养成-成长\n<Assistant_Title2>解锁条件：</>五抽获得2个传说人脉	<Assistant_Title1>Key Cultivation</>\n<Assistant_Title2>Achievement Category: </>Progression-Growth\n<Assistant_Title2>Unlock Condition: </>Obtain 2 Legendary Connections from a five-pull	
755	<Assistant_Title1>金秋湖导游</>\n<Assistant_Title2>成就分类：</>跑团-秩序世界\n<Assistant_Title2>解锁条件：</>金秋湖秩序世界完成度到达100%	<Assistant_Title1>Golden Autumn Lake Tour Guide</>\n<Assistant_Title2>Achievement Category: </>TRPG-Order World\n<Assistant_Title2>Unlock Condition: </>Reach 100% completion in the Golden Autumn Lake Order World	
756	<Assistant_Title1>金色传说</>\n<Assistant_Title2>成就分类：</>养成-装备\n<Assistant_Title2>解锁条件：</>穿戴8件金色品质及以上装备	<Assistant_Title1>Golden Legend</>\n<Assistant_Title2>Achievement Category: </>Growth - Equipment\n<Assistant_Title2>Unlock Condition: </>Equip 8 items of Gold quality or higher	
757	<Assistant_Title1>首胜荣光</>\n<Assistant_Title2>成就分类：</>以战养战-征伐\n<Assistant_Title2>解锁条件：</>获胜1次四方联赛。	<Assistant_Title1>Glory of the First Victory</>\n<Assistant_Title2>Achievement Category: </>War-Driven - Conquest\n<Assistant_Title2>Unlock Condition: </>Win 1 Four-Way League match.	
758	<Assistant_Title1>魔女与野兽</>\n<Assistant_Title2>成就分类：</>剧情-时代百态\n<Assistant_Title2>解锁条件：</>完成百态《魔女与野兽》。	<Assistant_Title1>Witch and Beast</>\n<Assistant_Title2>Achievement Category: </>Plot - Life in the Era\n<Assistant_Title2>Unlock Condition: </>Complete the Life in the Era quest \"Witch and Beast\".	
759	<Assistant_Title1>魔女的滋味真不错</>\n<Assistant_Title2>成就分类：</>剧情-支线剧情\n<Assistant_Title2>解锁条件：</>完成支线《魔女的滋味真不错》	<Assistant_Title1>The Taste of the Witch Is Really Good</>\n<Assistant_Title2>Achievement Category: </>Plot - Side Quests\n<Assistant_Title2>Unlock Condition: </>Complete the side quest \"The Taste of the Witch Is Really Good\"	
760	<Assistant_Title1>鲁恩交际王</>\n<Assistant_Title2>成就分类：</>社交-好友聊天\n<Assistant_Title2>解锁条件：</>拥有50个好友	<Assistant_Title1>Loen Socialite</>\n<Assistant_Title2>Achievement Category: </>Social-Friend Chat\n<Assistant_Title2>Unlock Condition: </>Have 50 friends	
761	<Assistant_Title1>鲁恩第一猹</>\n<Assistant_Title2>成就分类：</>剧情-支线剧情\n<Assistant_Title2>解锁条件：</>完成支线《告解时间到》	<Assistant_Title1>Loen's Number One Marmot</>\n<Assistant_Title2>Achievement Category: </>Plot - Side Quests\n<Assistant_Title2>Unlock Condition: </>Complete the side quest \"Time for Confession\"	
762	<Brown>预存物品</>供俱乐部成员自取，被领取后可以获得奖励	<Brown> Pre-stored items </> for club members to take; rewards can be obtained after they are claimed.	
763	<ChatTag_Chatroom>[语音房]</>	<ChatTag_Chatroom>[Voice Room]</>	
764	<ChatTag_Current>[附近]</>	<ChatTag_Current>[Nearby]</>	
765	<ChatTag_Fight>[战斗]</>	<ChatTag_Fight>[Battle]</>	
766	<ChatTag_Friend>[好友]</>	<ChatTag_Friend>[Friend]</>	
767	<ChatTag_GVG>[战场]</>	<ChatTag_GVG>[Battlefield]</>	
768	<ChatTag_Guild>[俱乐部]</>	<ChatTag_Guild>[Club]</>	
769	<ChatTag_Profession>[途径]</>	<ChatTag_Profession>[Pathway]</>	
770	<ChatTag_Recruit>[招募]</>	<ChatTag_Recruit>[Recruitment]</>	
771	<ChatTag_Server>[势力]</>	<ChatTag_Server>[Faction]</>	
772	<ChatTag_Server>[战略服]</>	<ChatTag_Server>[Strategy Server]</>	
773	<ChatTag_Server>[跨服]</>	<ChatTag_Server>[Cross-Server]</>	
774	<ChatTag_System>[系统]</>	<ChatTag_System>[System]</>	
775	<ChatTag_Team>[团队]</>	<ChatTag_Team>[Group]</>	
776	<ChatTag_Team>[联盟]</>	<ChatTag_Team>[Alliance]</>	
777	<ChatTag_Team>[队伍]</>	<ChatTag_Team>[Team]</>	
778	<ChatTag_World>[世界]</>	<ChatTag_World>[World]</>	
779	<Chat_Aim>来输出</>	<Chat_Aim> Looking for DPS </>	
780	<Chat_Highlight>%s</>势力占领了<Chat_Highlight>%s</>	The <Chat_Highlight>%s</> faction has occupied <Chat_Highlight>%s</>.	
781	<Chat_Highlight>%s</>势力占领了<Chat_Highlight>%s</>，最高据点倍率达到了%s，势不可挡！	The <Chat_Highlight>%s</> faction has occupied <Chat_Highlight>%s</>, and the highest stronghold multiplier has reached %s. Unstoppable!	
782	<Chat_Highlight>%s</>势力攻占了<Chat_Highlight>%s</>	The <Chat_Highlight>%s</> faction has captured <Chat_Highlight>%s</>.	
783	<Chat_Highlight>%s</>势力攻破了<Chat_Highlight>%s</>	The <Chat_Highlight>%s</> faction has breached <Chat_Highlight>%s</>.	
784	<Chat_Highlight>%s</>已加入家族专属群聊	<Chat_Highlight>%s</> has joined the family group chat.	
785	<Chat_Highlight>%s</>救治了濒死的你。	<Chat_Highlight>%s</> saved your dying self.	
786	<Chat_Highlight>%s</>离开了家族专属群聊	<Chat_Highlight>%s</> has left the family group chat.	
787	<Chat_Highlight>%s</>被移出了家族专属群聊	<Chat_Highlight>%s</> has been removed from the Family exclusive group chat.	
788	<Chat_Highlight>{{eventMessageParams.loserName}}</>沉沦于<Chat_Highlight>{{eventMessageParams.winnerName}}</>的绝对魅力之下，甘愿成为<Chat_Highlight>{{eventMessageParams.winnerName}}</>的俘虏。（状态持续<Chat_Highlight>15</>分钟）	<Chat_Highlight> {{eventMessageParams.loserName}} </> has fallen under the absolute charm of <Chat_Highlight>{{eventMessageParams.winnerName}}</> and is willing to become a captive of <Chat_Highlight>{{eventMessageParams.winnerName}}</>. (Status lasts for <Chat_Highlight>15</> minutes)	
789	<Chat_Highlight>{{eventMessageParams.winnerName}}</>反制了<Chat_Highlight>{{eventMessageParams.loserName}}</>的魅惑，将其轻松驯服，并感叹魔女的滋味真不错啊。（状态持续<Chat_Highlight>15</>分钟）	<Chat_Highlight> {{eventMessageParams.winnerName}} </> has countered the charm of <Chat_Highlight>{{eventMessageParams.loserName}}</>, easily taming them, and sighed that the Taste of the Witch is truly quite good. (Status lasts for <Chat_Highlight>15</> minutes)	
790	<Chat_Locate>范围设置</>	<Chat_Locate> Range Settings </>	
791	<Chat_PosNeed>来输出</>	<Chat_PosNeed> Looking for DPS </>	
792	<Chat_Red>%s</>击败了你。	<Chat_Red>%s</> defeated you.	
793	<Chat_Red>%s</>的<Chat_Highlight>%s</>净化了你。	<Chat_Red> %s </>'s <Chat_Highlight> %s </> purified you.	
794	<Chat_Red>%s</>的<Chat_Highlight>%s</>对你造成了<Chat_Highlight>%s</><Chat_Highlight>%s</>。	<Chat_Red>%s</>'s <Chat_Highlight>%s</> dealt <Chat_Highlight>%s</><Chat_Highlight>%s</> to you.	
795	<Chat_Red>未知目标</>击败了你。	The <Chat_Red> unknown target </> defeated you.	
796	<Chat_Red>未知目标</>的<Chat_Highlight>%s</>对你造成了<Chat_Highlight>%s</><Chat_Highlight>%s</>。	The <Chat_Red> unknown target </>'s <Chat_Highlight> %s </> dealt <Chat_Highlight> %s </> <Chat_Highlight> %s </> to you.	
797	<Chat_Red>解散群组</>	<Chat_Red> Disband Group </>	
