ID	CN	EN	RU_TRANSLATION
501	<Assistant_Title1>【庄园摇铃】</>\n<Assistant_Title2>描述：</>副本掉落饰品\n<Assistant_Title2>使用：</>使用后获得庄园摇铃，可点击<Assistant_System>外观-换装</>查看并使用。\n<Assistant_Title2>获取：</>通过<Assistant_System>副本-五月庄园·花园</>获取	<Assistant_Title1>【Manor Ring Bell】</>\n<Assistant_Title2>Description: </>Dungeon Drop Accessory\n<Assistant_Title2>Usage: </>After use, you will obtain the Manor Ring Bell. You can click <Assistant_System>Appearance - Change Outfit</> to view and use it. \n<Assistant_Title2>Acquisition: </>Obtained via <Assistant_System>Dungeon - May Manor · Garden</>	
502	<Assistant_Title1>【庇佑者】</>\n<Assistant_Title2>描述：</>探索奖励展台组件\n<Assistant_Title2>使用：</>使用后获得展台组件庇佑者，可点击<Assistant_System>外观-展台</>查看并使用。\n<Assistant_Title2>获取：</><Assistant_System>探索</>获取	<Assistant_Title1>【Protector】</>\n<Assistant_Title2>Description: </>Display stand component rewarded for Exploration\n<Assistant_Title2>Usage: </>After use, you will obtain the Protector display component. You can click <Assistant_System>Appearance - Display Stand</> to view and use it.\n<Assistant_Title2>Acquisition: </><Assistant_System>Exploration</> acquisition.	
503	<Assistant_Title1>【座驾】</>\n<Assistant_Title2>名词介绍：</>外观类型的一种\n<Assistant_Title2>获取方式：</>座驾可以通过任务、活动、商城或特定玩法奖励获得等等多种多样的方式都有机会获取。\n<Assistant_Title2>查看切换：</>点击菜单-外观-座驾就可以预览和切换其他座驾，还能更换座驾外观\n<Assistant_Title2>召唤座驾：</>点击右下角坐骑按钮可以召唤座驾，PC端还可以用快捷键T召唤坐骑	<Assistant_Title1>【Vehicle】</>\n<Assistant_Title2>Introduction: </>A type of cosmetic.\n<Assistant_Title2>How to Obtain: </>Vehicles can be obtained in various ways, such as through quests, events, the Mall, or specific gameplay rewards.\n<Assistant_Title2>View and Switch: </>Click Menu - Cosmetics - Vehicle to preview and switch vehicles, or change their appearance.\n<Assistant_Title2>Summon Vehicle: </>Click the mount button in the bottom right to summon your vehicle; on PC, you can also use the shortcut key T to summon it.	
504	<Assistant_Title1>【异阳圣徽】</>\n<Assistant_Title2>描述：</>战令奖励饰品\n<Assistant_Title2>使用：</>使用后获得异阳圣徽，可点击<Assistant_System>外观-换装</>查看并使用。\n<Assistant_Title2>获取：</>战令解锁	<Assistant_Title1>【Alien Sun Holy Emblem】</>\n<Assistant_Title2>Description: </>Battle Pass reward accessory\n<Assistant_Title2>Use: </>Use to obtain Alien Sun Holy Emblem. You can view and equip it by clicking <Assistant_System>Appearance - Dress Up</>.\n<Assistant_Title2>Acquisition: </>Unlocked via Battle Pass	
505	<Assistant_Title1>【微笑】</>\n<Assistant_Title2>描述：</>默认展台表情\n<Assistant_Title2>使用：</>可点击<Assistant_System>外观-展台</>查看并使用。\n<Assistant_Title2>获取：</>默认解锁	<Assistant_Title1>【Smile】</>\n<Assistant_Title2>Description: </>Default display stand expression.\n<Assistant_Title2>Usage: </>You can view and use it by clicking <Assistant_System>Appearance - Display Stand</>.\n<Assistant_Title2>Acquisition: </>Unlocked by default.	
506	<Assistant_Title1>【惊情街区】</>\n<Assistant_Title2>描述：</>商城直售时装\n<Assistant_Title2>使用：</>商城购买后获得惊情街区套装，可点击<Assistant_System>外观-换装</>查看并使用。\n<Assistant_Title2>获取：</>通过<Assistant_System>商城</>获取	<Assistant_Title1>【Thrilling District】</>\n<Assistant_Title2>Description: </>Shop Direct-Purchase Outfit\n<Assistant_Title2>Usage: </>Purchase in the shop to obtain the Thrilling District outfit. You can click <Assistant_System>Appearance - Change Outfit</> to view and use it.\n<Assistant_Title2>Acquisition: </>Obtained via <Assistant_System>Shop</>	
507	<Assistant_Title1>【惊讶】</>\n<Assistant_Title2>描述：</>默认展台表情\n<Assistant_Title2>使用：</>可点击<Assistant_System>外观-展台</>查看并使用。\n<Assistant_Title2>获取：</>默认解锁	<Assistant_Title1>【Surprised】</>\n<Assistant_Title2>Description: </>Default display stand expression.\n<Assistant_Title2>Usage: </>You can view and use it by clicking <Assistant_System>Appearance - Display Stand</>.\n<Assistant_Title2>Acquisition: </>Unlocked by default.	
508	<Assistant_Title1>【意外的访客】</>\n<Assistant_Title2>任务类型：</><Assistant_Property2>原著主线</>\n<Assistant_Title2>任务描述：</>诡异的自杀，意外的穿越，陌生又熟悉的世界。此时有人敲响了房门，外面是朋友还是敌人？\n<Assistant_Title2>领取方式：</>第一赛季第二天解锁。完成原著剧情《灰雾之上》，且扮演等级达到<Assistant_Red>41级</>后自动接取。\n<Assistant_Title2>任务奖励</>：认知经验、绑定苏勒、绑定金镑、历史明灯、装备	<Assistant_Title1>【Unexpected Visitor】</>\n<Assistant_Title2>Quest Type: </><Assistant_Property2>Original Main Story </>\n<Assistant_Title2>Quest Description: </>A bizarre suicide, an accidental transmigration, a world both strange and familiar. At this moment, someone knocks on the door. Is it a friend or an enemy outside? \n<Assistant_Title2>How to Accept: </>Unlocked on the second day of the first season. Automatically accepted after completing the original story \"Above the Gray Fog\" and reaching <Assistant_Red>Acting Level 41</>. \n<Assistant_Title2>Quest Rewards</>: Cognition EXP, Bound Soule, Bound Gold Pound, Historical Beacon, Equipment	
509	<Assistant_Title1>【成就】</>\n<Assistant_Title2>系统说明：</>点击<Assistant_System>菜单-收藏-成就</>即可查看成就。\n<Assistant_Title2>使用指南：</>进入成就系统后，左侧列表可以切换成就<Assistant_Red>大类、小类</>。上方输入框可以查找该大类内的<Assistant_Red>成就名称</>。当有可领取的成就奖励时，可以点击右下角<Assistant_Red>“一键领取”</>领取该大类内的所有奖励。\n<Assistant_Title2>成就奖励：</>大量<Assistant_Red>绑定金镑</>、<Assistant_Red>称号</>等。\n<Assistant_Title2>查询指南：</>在攻略助手中输入对应成就名，可以查询到具体成就。	<Assistant_Title1>【Achievement】</>\n<Assistant_Title2>System Description: </>Click <Assistant_System>Menu - Collection - Achievement</> to view achievements. \n<Assistant_Title2>Usage Guide: </>After entering the achievement system, the list on the left can switch between achievement <Assistant_Red>categories and subcategories</>. The input box above can be used to search for <Assistant_Red>achievement names</> within that category. When there are claimable achievement rewards, you can click <Assistant_Red>\"Claim All\"</> in the bottom right corner to claim all rewards within that category. \n<Assistant_Title2>Achievement Rewards: </>A large amount of <Assistant_Red>Bound Gold Pound</>, <Assistant_Red>Titles</>, etc. \n<Assistant_Title2>Inquiry Guide: </>Enter the corresponding achievement name in the Strategy Assistant to query specific achievements.	
510	<Assistant_Title1>【我不是赌神】</>\n<Assistant_Title2>描述：</>竞技玩法奖励周边\n<Assistant_Title2>使用：</>使用后获得我不是赌神，可点击<Assistant_System>外观-周边/>查看并使用。\n<Assistant_Title2>获取：</>通过<Assistant_System>商城-百货-凯旋商店</>使用凯旋徽章兑换	<Assistant_Title1>【I Am Not the God of Gamblers】</>\n<Assistant_Title2>Description: </>Rewards for Competition gameplay peripherals\n<Assistant_Title2>Usage: </>After using, you will obtain I Am Not the God of Gamblers. You can click <Assistant_System>Appearance-Peripherals/> to view and use it.\n<Assistant_Title2>Acquisition: </>Exchange using Triumph Badges in the <Assistant_System>Shop-General-Triumph Store</>	
511	<Assistant_Title1>【战士】</>\n<Assistant_Title2>描述：</>默认展台表情贴纸\n<Assistant_Title2>使用：</>可点击<Assistant_System>外观-展台</>查看并使用。\n<Assistant_Title2>获取：</>默认解锁	<Assistant_Title1>【Warrior】</>\n<Assistant_Title2>Description: </>Default display stand sticker\n<Assistant_Title2>Usage: </>You can click <Assistant_System>Appearance - Display Stand</> to view and use it.\n<Assistant_Title2>Acquisition: </>Unlocked by default.	
512	<Assistant_Title1>【报丧者说】</>\n<Assistant_Title2>任务类型：</><Assistant_Property2>时代逸闻</>\n<Assistant_Title2>任务描述：</>葡萄架深处的旧宅前，一位男子似乎在寻找什么……\n<Assistant_Title2>领取方式：</>扮演等级达到<Assistant_Red>65级</>后，前往{Location:[金秋湖(373,197)]|27149;9014;1136;2;5200085;0}与<Assistant_Red>男子</>对话接取任务。\n<Assistant_Title2>任务奖励</>：认知经验、发票单据、冒险勋章、世界冒险秘宝进度	<Assistant_Title1>【What the Mourner Says】</>\n<Assistant_Title2>Quest Type: </><Assistant_Property2>Era Anecdote</>\n<Assistant_Title2>Quest Description: </>In front of the old house deep in the grape trellis, a man seems to be looking for something...\n<Assistant_Title2>How to Accept: </>After reaching Acting Level <Assistant_Red>65</>, go to {Location:[Golden Autumn Lake(373,197)]|27149;9014;1136;2;5200085;0} and talk to the <Assistant_Red>man</> to accept the quest.\n<Assistant_Title2>Quest Rewards</>: Cognition EXP, Invoices, Adventure Medal, World Adventure Treasure progress.	
513	<Assistant_Title1>【提摩西兔】</>\n<Assistant_Title2>描述：</>段位奖励展台贴纸\n<Assistant_Title2>使用：</>使用后获得提摩西兔，可点击<Assistant_System>外观-展台</>查看并使用。\n<Assistant_Title2>获取：</><Assistant_System>躺赢-段位天梯</>达到一定段位获取	<Assistant_Title1>【Timothy Rabbit】</>\n<Assistant_Title2>Description: </>Rank Reward Display Stand Sticker\n<Assistant_Title2>Usage: </>After use, you will obtain Timothy Rabbit. You can click <Assistant_System>Appearance-Display Stand</> to view and use it.\n<Assistant_Title2>Acquisition: </><Assistant_System>Easy Win-Ranked Ladder</>Obtained upon reaching a certain rank	
